"Continent","Population Growth 2022","Population Growth 2020","Population Growth 2015","Population Growth 2010","Population Growth 2000","Population Growth 1990","Population Growth 1980","Population Growth 1970"
"Africa",1451559,3908512,3686810,5081723,5256547,6778696,4943463,13795915
"Asia",2156541,5218731,5563827,8646690,8848186,-1791835,1733660,10752971
"Europe",-24528,-15632,-30918,-268622,-113045,353415,616920,2324731
"North America",272,1060,1353,2125,2731,1756,277,6283
"Oceania",-1916,-5179,-3481,-3381,10412,14932,5811,27075
"South America",474286,1778967,2156942,4029349,4433117,4612854,4182000,23842803
